x,y,z,
3,4,5,
7,24,25,
11,60,61,
15,20,25,
15,36,39,
15,112,113,
20,21,29,
19,180,181,
24,45,51,
23,264,265,
27,36,45,
28,45,53,
27,120,123,
27,364,365,
31,480,481,
36,77,85,
35,84,91,
36,105,111,
35,120,125,
35,612,613,
39,52,65,
39,80,89,
39,252,255,
39,760,761,
44,117,125,
43,924,925,
48,189,195,
51,68,85,
51,140,149,
52,165,173,
51,432,435,
56,105,119,
55,132,143,
55,300,305,
60,221,229,
60,297,303,
63,84,105,
63,216,225,
63,280,287,
63,660,663,
68,285,293,
72,429,435,
75,100,125,
75,180,195,
75,308,317,
76,357,365,
75,560,565,
75,936,939,
84,245,259,
84,437,445,
84,585,591,
88,105,137,
87,116,145,
88,165,187,
87,416,425,
91,312,325,
92,525,533,
91,588,595,
95,168,193,
95,228,247,
96,765,771,
95,900,905,
100,105,145,
99,132,165,
99,168,195,
99,440,451,
99,540,549,
100,621,629,
104,153,185,
108,725,733,
108,969,975,
111,148,185,
112,441,455,
111,680,689,
115,252,277,
115,276,299,
116,837,845,
119,120,169,
120,209,241,
120,225,255,
119,408,425,
123,164,205,
123,836,845,
124,957,965,
132,385,407,
135,180,225,
136,273,305,
135,324,351,
135,352,377,
135,600,615,
140,225,265,
140,693,707,
144,165,219,
143,780,793,
143,924,935,
147,196,245,
147,504,525,
152,285,323,
152,345,377,
155,372,403,
155,468,493,
159,212,265,
168,425,457,
171,228,285,
171,528,555,
171,760,779,
175,288,337,
175,420,455,
175,600,625,
176,693,715,
180,189,261,
180,273,327,
180,385,425,
180,525,555,
183,244,305,
184,345,391,
184,513,545,
195,216,291,
195,260,325,
195,400,445,
195,468,507,
195,748,773,
200,609,641,
204,253,325,
203,396,445,
203,696,725,
207,224,305,
207,276,345,
207,780,807,
207,920,943,
216,405,459,
215,516,559,
216,713,745,
215,912,937,
219,292,365,
220,585,625,
228,325,397,
228,665,703,
231,308,385,
231,392,455,
231,520,569,
231,792,825,
232,825,857,
235,564,611,
240,945,975,
243,324,405,
248,465,527,
248,945,977,
252,405,477,
252,561,615,
255,340,425,
255,396,471,
255,612,663,
255,700,745,
260,273,377,
259,660,709,
260,825,865,
259,888,925,
267,356,445,
276,493,565,
275,660,715,
276,805,851,
279,372,465,
279,440,521,
280,525,595,
288,741,795,
287,816,865,
287,984,1025,
291,388,485,
295,708,767,
300,589,661,
303,404,505,
312,585,663,
315,420,525,
315,572,653,
315,624,699,
315,756,819,
315,988,1037,
319,360,481,
324,693,765,
324,945,999,
327,436,545,
336,377,505,
336,385,511,
335,804,871,
340,357,493,
339,452,565,
344,645,731,
348,805,877,
351,468,585,
351,720,801,
355,852,923,
363,484,605,
364,585,689,
363,616,715,
368,465,593,
372,925,997,
375,500,625,
376,705,799,
375,900,975,
387,516,645,
387,884,965,
395,948,1027,
399,468,615,
399,532,665,
400,561,689,
407,624,745,
408,765,867,
411,548,685,
415,996,1079,
420,441,609,
420,513,663,
420,637,763,
423,564,705,
432,665,793,
435,580,725,
440,525,685,
440,825,935,
447,596,745,
451,780,901,
455,504,679,
455,528,697,
459,612,765,
464,777,905,
471,628,785,
472,885,1003,
476,765,901,
475,840,965,
480,693,843,
483,644,805,
483,720,867,
495,660,825,
495,840,975,
496,897,1025,
495,952,1073,
500,525,725,
504,945,1071,
507,676,845,
519,692,865,
520,765,925,
528,605,803,
531,708,885,
540,629,829,
540,897,1047,
543,724,905,
555,572,797,
555,740,925,
559,840,1009,
567,756,945,
580,609,841,
580,741,941,
579,772,965,
588,945,1113,
591,788,985,
595,600,845,
595,924,1099,
603,804,1005,
615,728,953,
615,820,1025,
620,861,1061,
627,836,1045,
639,852,1065,
651,868,1085,
660,693,957,
660,989,1189,
663,884,1105,
675,816,1059,
675,900,1125,
687,916,1145,
696,697,985,
699,932,1165,
711,948,1185,
715,792,1067,
720,825,1095,
723,964,1205,
731,780,1069,
735,980,1225,
740,777,1073,
744,817,1105,
747,996,1245,
756,825,1119,
792,945,1233,
799,960,1249,
820,861,1189,
891,912,1275,
900,945,1305,
